country,sci_score,sci_rank,historical_score,efficiency_score,ranking_score,squad_value_eur,tournaments,tournament_points
Brazil,91.5,1,0.954419191919192,0.8646827289840466,0.9404761904761904,909200000,22.0,0
Germany,90.78,2,0.9976315789473684,0.8385627150248828,0.8928571428571429,998000000,20.0,0
Croatia,86.07,3,0.6871345029239766,1.0,0.8809523809523809,385700000,6.0,0
Uruguay,83.13,4,0.668609022556391,0.987287944742776,0.8095238095238095,371100000,14.0,0
Argentina,82.22,5,0.8068957115009747,0.7394469010753897,0.9761904761904762,816500000,18.0,0
Netherlands,79.73,6,0.8020069112174375,0.7110783454039152,0.9285714285714286,837200000,11.0,0
Türkiye,72.91,7,0.6474415204678362,0.7875675605095885,0.75,536200000,2.0,0
Austria,68.5,8,0.4930868838763575,0.8271852718861492,0.7261904761904762,271700000,7.0,0
Sweden,67.08,9,0.5930555555555556,0.8082759770388981,0.5595238095238095,436380000,12.0,0
Belgium,58.58,10,0.4523721161879057,0.503203452475106,0.9047619047619048,530200000,14.0,0
Mexico,56.76,11,0.2759373925008599,0.6567475000807789,0.8333333333333334,121600000,17.0,0
United States,56.2,12,0.3789606592238171,0.5599474039431261,0.8214285714285714,367200000,11.0,0
Colombia,54.45,13,0.3243908382066277,0.5415972259322119,0.8571428571428572,305450000,6.0,0
Senegal,53.37,14,0.3862573099415204,0.4681201504587254,0.8452380952380952,468000000,3.0,0
Portugal,52.85,15,0.5631030701754386,0.2332785569917805,0.9523809523809524,957000000,8.0,0
France,52.17,16,0.7686860380116959,0.0065909839869521,1.0,1480000000,16.0,0
South Korea,51.38,17,0.2594497607655502,0.6111071889379358,0.7142857142857143,142300000,11.0,0
Switzerland,50.79,18,0.3157041910331384,0.5025303746524857,0.7857142857142857,331100000,12.0,0
England,49.53,19,0.6769462719298246,0.0431737865919805,0.9642857142857144,1310000000,16.0,0
Paraguay,49.04,20,0.2803545321637427,0.645802085085252,0.5357142857142857,138800000,8.0,0
Morocco,46.93,21,0.3074805068226121,0.3312535448059074,0.9166666666666666,487200000,6.0,0
Spain,46.42,22,0.6205866228070176,0.0,0.988095238095238,1270000000,16.0,0
Japan,44.76,23,0.2263575605680869,0.422512112371934,0.7976190476190477,279050000,7.0,0
Australia,44.55,24,0.1622807017543859,0.5402745680164766,0.6904761904761905,69800000,6.0,0
Ecuador,43.07,25,0.2146929824561403,0.4275555334936525,0.7380952380952381,257050000,4.0,0
Iran,39.0,26,0.0698586744639376,0.4375934692949786,0.7619047619047619,35500000,6.0,0
Algeria,38.13,27,0.1652046783625731,0.3846807592482278,0.6785714285714286,226800000,4.0,0
Ghana,37.86,28,0.3105263157894736,0.592979130190177,0.1309523809523809,234750000,4.0,0
Egypt,34.35,29,0.0888888888888888,0.3643796298408618,0.6666666666666667,135180000,3.0,0
Saudi Arabia,33.77,30,0.1386695906432748,0.5443892217262681,0.2857142857142857,31250000,6.0,0
Tunisia,31.13,31,0.0735623781676413,0.4087249322746881,0.4880952380952381,69250000,6.0,0
Czechia,30.3,32,0.1100877192982456,0.3337503945890717,0.5238095238095238,196230000,1.0,0
South Africa,30.11,33,0.1030214424951267,0.4764825665682925,0.2976190476190476,45800000,3.0,0
Panama,28.84,34,0.0,0.3341480078040594,0.6190476190476191,34930000,1.0,0
Scotland,26.34,35,0.0744883040935672,0.2807395031992357,0.5,196230000,8.0,0
Norway,25.48,36,0.2020955165692008,0.0583885933353249,0.6428571428571428,601000000,3.0,0
Bosnia and Herzegovina,25.06,37,0.1100877192982456,0.3813578131685377,0.2380952380952381,149500000,1.0,0
Qatar,22.88,38,0.0,0.3488693259823878,0.3571428571428571,20480000,1.0,0
Canada,22.84,39,0.0,0.1618525524186691,0.6547619047619048,204050000,2.0,0
Iraq,22.15,40,0.0,0.345385110884126,0.3333333333333333,23900000,1.0,0
Uzbekistan,22.0,41,0.0,0.28952560391404,0.4166666666666666,78730000,0.0,0
Jordan,20.59,42,0.0,0.3510393195962175,0.2619047619047618,18350000,0.0,0
DR Congo,20.4,43,0.0,0.2199228040563657,0.4642857142857143,147050000,1.0,0
Côte d'Ivoire,19.65,44,0.117495126705653,0.008920726305422,0.6071428571428572,525900000,3.0,0
Cape Verde,17.26,45,0.0,0.3124990104829883,0.1904761904761904,56180000,0.0,0
New Zealand,16.5,46,0.0333333333333333,0.3833566032049976,0.0,35350000,2.0,0
Curaçao,14.62,47,0.0,0.3432151172702963,0.0357142857142857,26030000,0.0,0
Haiti,13.11,48,0.0,0.3128046433863446,0.0238095238095238,55880000,1.0,0
